# CoreApi31 - https://docs.microsoft.com/en-us/dotnet/api/?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                                           | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Windows.Ink Namespace                                   | Provides classes to interact with and manipulate ink on the Windows Presentation Foundation (WPF) platform.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Windows.Input Namespace                                 | Provides types to support the Windows Presentation Foundation (WPF) input system. This includes device abstraction classes for mouse, keyboard, and stylus devices, a common input manager class, support for commanding and custom commands, and various utility classes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Windows.Input Namespace                                 | Provides types to support the Windows Presentation Foundation (WPF) input system. This includes device abstraction classes for mouse, keyboard, and stylus devices, a common input manager class, support for commanding and custom commands, and various utility classes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Windows.Input. Manipulations Namespace                  | Provides functionality for monitoring and responding to a collection of manipulators as a single composite, enabling an application to track the changes to the composite instead of the individual components.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Windows.Input. Manipulations Namespace                  | Provides functionality for monitoring and responding to a collection of manipulators as a single composite, enabling an application to track the changes to the composite instead of the individual components.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Windows.Input. Stylus Plug Ins Namespace                | Provides classes that support manipulating data from a tablet pen on the Windows Presentation Foundation (WPF) platform. These classes offer low-level control over Stylus input and the creation of digital ink Stroke objects. The StylusPlugIn class provides a mechanism for you to implement custom behavior and apply that behavior to the stream of data coming from the stylus device for the optimal performance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Windows.Input. Stylus Plug Ins Namespace                | Provides classes that support manipulating data from a tablet pen on the Windows Presentation Foundation (WPF) platform. These classes offer low-level control over input and the creation of digital ink objects. The class provides a mechanism for you to implement custom behavior and apply that behavior to the stream of data coming from the stylus device for the optimal performance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Windows.Input. Stylus Wisp Namespace                    | Provides classes that support manipulating data from a WISP tablet device pen on the Windows Presentation Foundation (WPF) platform.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System.Windows.Input. Stylus Wisp Namespace                    | Provides classes that support manipulating data from a WISP tablet device pen on the Windows Presentation Foundation (WPF) platform.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System.Windows.Interop Namespace                               | Provides supporting types for interoperation between Windows Presentation Foundation (WPF) and other technologies such as Windows APIs and provides base classes for other specific interoperation scenarios involving WPF.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Windows.Interop Namespace                               | Provides supporting types for interoperation between Windows Presentation Foundation (WPF) and other technologies such as Windows APIs and provides base classes for other specific interoperation scenarios involving WPF.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Windows.Markup Namespace                                | Provides types to support XAML. Some of these types are located in WPF assemblies and are specific to WPF scenarios that involve XAML. Other types in this namespace provide support for .NET Framework XAML Services in general, and do not require referencing WPF assemblies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Markup Namespace                                | Provides types to support XAML. Some of these types are located in WPF assemblies and are specific to WPF scenarios that involve XAML. Other types in this namespace provide support for .NET Framework XAML Services in general, and do not require referencing WPF assemblies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Markup. Localizer Namespace                     | Provides types that assist in the localization of binary XAML (BAML) sources.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.Windows.Markup. Localizer Namespace                     | Provides types that assist in the localization of binary XAML (BAML) sources.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| System.Windows.Markup. Primitives Namespace                    | Contains classes that support Extensible Application Markup Language (XAML) in Windows Presentation Foundation (WPF).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| System.Windows.Markup. Primitives Namespace                    | Contains classes that support Extensible Application Markup Language (XAML) in Windows Presentation Foundation (WPF).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| System.Windows.Media Namespace                                 | Provides types that enable integration of rich media, including drawings, text, and audio/video content in Windows Presentation Foundation (WPF) applications.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Windows.Media Namespace                                 | Provides types that enable integration of rich media, including drawings, text, and audio/video content in Windows Presentation Foundation (WPF) applications.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Windows.Media. Animation Namespace                      | Provides types that support property animation functionality, including timelines, storyboards, and key frames.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Windows.Media. Animation Namespace                      | Provides types that support property animation functionality, including timelines, storyboards, and key frames.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Windows.Media. Converters Namespace                     | Contains classes that are used by the for serialization of Extensible Application Markup Language (XAML).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Media. Converters Namespace                     | Contains classes that are used by the MarkupWriter for serialization of Extensible Application Markup Language (XAML).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Windows.Media. Effects Namespace                        | Provides types that can be used to apply visual effects to bitmap images.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Media. Effects Namespace                        | Provides types that can be used to apply visual effects to bitmap images.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Media. Imaging Namespace                        | Provides types that are used to encode and decode bitmap images.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Media. Imaging Namespace                        | Provides types that are used to encode and decode bitmap images.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Media. Media3D Namespace                        | Contains types that support 3-D presentation in Windows Presentation Foundation (WPF) applications.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Windows.Media. Media3D Namespace                        | Contains types that support 3-D presentation in Windows Presentation Foundation (WPF) applications.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Windows.Media. Media3D. Converters Namespace            | Contains classes that are used by the MarkupWriter for serialization of Extensible Application Markup Language (XAML).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| System.Windows.Media. Media3D. Converters Namespace            | Contains classes that are used by the for serialization of Extensible Application Markup Language (XAML).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Media. Text Formatting Namespace                | Provides types that control formatting of text, typically at a lower level than control-based text presentation or the text object model.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Media. Text Formatting Namespace                | Provides types that control formatting of text, typically at a lower level than control-based text presentation or the text object model.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Navigation Namespace                            | Provides types that support navigation, including navigating between windows and navigation journaling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Windows.Navigation Namespace                            | Provides types that support navigation, including navigating between windows and navigation journaling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Windows.Resources Namespace                             | Provides low-level classes that support the Windows Presentation Foundation (WPF) resource model and the Resources build action.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Resources Namespace                             | Provides low-level classes that support the Windows Presentation Foundation (WPF) resource model and the Resources build action.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Windows.Shapes Namespace                                | Provides access to a library of shapes that can be used in Extensible Application Markup Language (XAML) or code.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Windows.Shapes Namespace                                | Provides access to a library of shapes that can be used in Extensible Application Markup Language (XAML) or code.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Windows.Shell Namespace                                 | Contains types that provide managed code access to the enhanced functionality of the Windows 7 taskbar.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Windows.Shell Namespace                                 | Contains types that provide managed code access to the enhanced functionality of the Windows 7 taskbar.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Windows.Threading Namespace                             | Contains types to support the Windows Presentation Foundation (WPF) threading system.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| System.Windows.Threading Namespace                             | Contains types to support the Windows Presentation Foundation (WPF) threading system.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| System.Windows.Xps Namespace                                   | Provides classes that write XPS documents to a data store or print queue.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Xps Namespace                                   | Provides classes that write XPS documents to a data store or print queue.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Windows.Xps. Packaging Namespace                        | Provides types that allow applications to read and write the components of an XPS document.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Windows.Xps. Packaging Namespace                        | Provides types that allow applications to read and write the components of an XPS document.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
