Seq      | Mnemonic
1278     | Vpmovq2m
1279     | Vpmovqb
1280     | Vpmovqd
1281     | Vpmovqw
1282     | Vpmovsdb
1283     | Vpmovsdw
1284     | Vpmovsqb
1285     | Vpmovsqd
1286     | Vpmovsqw
1287     | Vpmovswb
1288     | Vpmovsxbd
1289     | Vpmovsxbq
1290     | Vpmovsxbw
1291     | Vpmovsxdq
1292     | Vpmovsxwd
1293     | Vpmovsxwq
1294     | Vpmovusdb
1295     | Vpmovusdw
1296     | Vpmovusqb
1297     | Vpmovusqd
1298     | Vpmovusqw
1299     | Vpmovuswb
1300     | Vpmovw2m
1301     | Vpmovwb
1302     | Vpmovzxbd
1303     | Vpmovzxbq
1304     | Vpmovzxbw
1305     | Vpmovzxdq
1306     | Vpmovzxwd
1307     | Vpmovzxwq
1308     | Vpmuldq
1309     | Vpmulhrsw
1310     | Vpmulhuw
1311     | Vpmulhw
1312     | Vpmulld
1313     | Vpmullq
1314     | Vpmullw
1315     | Vpmultishiftqb
1316     | Vpmuludq
1317     | Vpopcntb
1318     | Vpopcntd
1319     | Vpopcntq
1320     | Vpopcntw
1321     | Vpor
1322     | Vpord
1323     | Vporq
1324     | Vpperm
1325     | Vprold
1326     | Vprolq
1327     | Vprolvd
1328     | Vprolvq
1329     | Vprord
1330     | Vprorq
1331     | Vprorvd
1332     | Vprorvq
1333     | Vprotb
1334     | Vprotd
1335     | Vprotq
1336     | Vprotw
1337     | Vpsadbw
1338     | Vpscatterdd
1339     | Vpscatterdq
1340     | Vpscatterqd
1341     | Vpscatterqq
1342     | Vpshab
